stadium,seat_name,note
광주,챔피언석,"의자가 편해서 오랜 시간 앉아서 보기 편함"
광주,중앙테이블석,"음식 먹기 편한 곳"
광주,스카이피크닉석,"피크닉 테이블이 있는 가족 단위 관람객을 위한 좌석"
광주,서프라이즈석,"선수들을 가장 가까이 볼 수 있음"
광주,에코다이나믹석,"자녀가 있는 가족분들이 많은 편, 샌드파크와 놀이터가 있음"
광주,응원특별석,"응원단과 함께하는 특별한 응원 구역"
광주,외야 자유석,"선착순으로 앉을 수 있음, 홈런볼을 얻을 확률이 높음"
광주,타이거즈 가족석,"가족이나 회사, 지인 등 모임을 하기 좋은 좌석"
광주,비스트로펍,"4인석은 마주 보고 앉을 수 있음, 대기장소엔 에어컨 나옴"
광주,K9,"32~34열은 지붕이 있는 좌석, 응원석 바로 옆 블록이라 응원 열기는 비슷하지만 앉아서 응원하는 곳"
광주,K8,"일어나서 응원하는 구역"
광주,K5,"응원단과 가까운 위치로 열정적인 응원 분위기를 느낄 수 있음"
광주,EV석,"1, 2, 3, 4 열에 해당하는 2인석과 3인석 추천, 경기를 전체적으로 보기 좋음"
광주,외야 테이블석,"외야에 위치한 테이블석으로, 간단한 식사와 함께 경기를 여유롭게 관람할 수 있는 좌석"
광주,5층 테이블석,"경기장 최상단에 위치한 테이블석으로, 넓은 시야를 확보할 수 있고 식사와 함께 관람 가능"
광주,스카이박스,"4층에 위치한 프라이빗 관람 공간으로, TV, 소파, 에어컨 등 완비. 단체 및 기업 관람에 적합"
광주,4층파티석,"단체 관람객을 위한 파티 공간으로, 테이블과 넓은 공간이 제공되어 모임이나 파티에 적합"
잠실,테라존(프리미엄석),"중앙 테이블석으로 음식 먹기 편함"
잠실,테이블석,"가족·지인과 관람용"
잠실,익사이팅석,"1, 3루 뒤 좌석, 선수들과 가깝고 사인 가능성 있음, 파울볼 주의 (헬멧 대여 가능)"
잠실,블루석,"시야가 넓고 209구역은 응원석과 가까워 일어나서 응원 가능"
잠실,오렌지석,"응원단상 시야 방해로 4열 이후 예매 추천"
잠실,레드석,"101~103은 시야 제한, 106은 불펜 바로 앞"
잠실,네이비석,"고층 좌석, 305~309는 응원 구역 위, 315~317은 시야 최상"
잠실,외야그린석,"외야수와 가까움, 405~408이 시야와 전광판 모두 양호"
문학,4층 SKY뷰석,"경기장 최상단에 위치한 좌석으로, 넓은 시야를 확보할 수 있으며, 단체 관람 시 할인 혜택이 제공됨"
문학,내야 필드석,"내야 그라운드와 가까운 좌석으로, 선수들의 플레이를 생생하게 관람할 수 있음"
문학,외야 필드석,"외야 그라운드와 인접한 좌석으로, 홈런 타구를 가까이에서 볼 수 있으며, 단체 관람에 적합"
문학,덕아웃 상단석,"덕아웃 바로 위에 위치한 좌석으로, 선수들의 움직임을 가까이에서 관찰할 수 있음"
문학,으쓱이존,"N블럭에 위치한 가족 단위 관람객을 위한 좌석으로, 단체 관람 시 할인 혜택이 제공됨"
문학,원정응원석,"3루 측에 위치한 원정팀 응원 구역으로, 열정적인 응원 분위기를 즐길 수 있음"
문학,스카이박스,"프라이빗한 공간에서 관람할 수 있는 고급 좌석으로, 냉장고, 소파, 에어컨 등 편의 시설이 완비되어 있음"
문학,오픈 바비큐존,"외야에 위치한 바비큐 구역으로, 4~8인용 좌석이 마련되어 있으며, 지붕이 없는 오픈형 구조로 되어 있음"
문학,몰리스 그린존,"잔디석 원조. 돗자리 필수, 텐트 설치 가능. 도그데이 이벤트 운영"
문학,랜더스 라이브존,"중앙 프리미엄석. 카우치 좌석. 방송 노출은 적음"
문학,이마트 프랜들리존,"내야 가까운 익사이팅존. 사인 및 홈런 인형 받을 기회 있음"
문학,피코크 테이블석,"1층 중앙 테이블석. 음식 먹기 좋음, 탁자는 작음"
문학,노브랜드 테이블석,"2층 중앙 테이블석. 피코크와 동일 구조"
문학,SKY탁자석,"4층 홈플레이트 뒤쪽 테이블석. 경기장 전체 조망 가능, 가성비 우수"
문학,홈런커플존,"외야 1열 파티덱. 홈런볼 잡기 좋은 자리, 시야는 낮음"
문학,이마트바베큐존,"외야 바베큐 구역. 4~8인석, 지붕/오픈형 다양, 푸드코트 이용 가능"
문학,로케트배터리 외야파티덱,"외야 테이블석. 전광판 시야는 불편할 수 있음"
문학,요기요 내야 패밀리존,"테이블석 양 옆 위치. 가족 단위, 테이블 너비 좁음"
문학,외야 패밀리존,"바베큐존 앞 위치. 가족 단위 관람석. 테이블은 넓음"
문학,초가정자,"그린존 맨 뒤. 8인용 대형 그늘 좌석, 별도 입장권 필요"
문학,미니스카이박스,"2층 응원지정석 맨 위, TV·식탁·냉장고 있음. 4~6인 가족 관람에 적합"
창원,내야석,"1층과 2층 내야 구역으로, 경기장 전반을 조망하기에 적합한 좌석입니다."
창원,미니테이블석,"컵 홀더와 작은 선반이 있어 간단한 간식을 즐기기에 편리한 좌석입니다."
창원,ABL생명 프리미엄석,"홈플레이트 뒤쪽에 위치한 고급 좌석으로, TV 시청과 프리미엄 라운지 이용이 가능합니다."
창원,테이블석,"넓은 테이블이 제공되어 식사와 함께 경기를 관람하기에 좋은 좌석입니다."
창원,가족석,"2~6인용으로 구성된 가족 단위 관람객을 위한 좌석으로, 안전한 계단 설계가 특징입니다."
창원,ABL생명 프리미엄 테이블석,"프리미엄석 뒤편에 위치한 테이블석으로, 라운지 이용과 함께 편안한 관람이 가능합니다."
창원,라운드 테이블석,"2층 내야에 위치한 원형 테이블석으로, 넓은 공간과 탁 트인 시야를 제공합니다."
창원,스카이박스,"3~4층에 위치한 프라이빗한 공간으로, 단체 관람에 적합하며 다과 서비스가 제공됩니다."
창원,바베큐석,"삼겹살과 야채가 제공되는 6인용 좌석으로, 바베큐를 즐기며 경기를 관람할 수 있습니다."
창원,외야잔디석,"3루 외야에 위치한 잔디 구역으로, 돗자리를 펴고 피크닉 분위기로 경기를 즐길 수 있습니다."
창원,불펜 가족석,"외야 불펜 근처에 위치한 4인용 테이블석으로, 불펜 투수를 가까이에서 볼 수 있습니다."
창원,피크닉테이블석,"외야에 위치한 테이블석으로, 가족이나 친구들과 함께 식사하며 경기를 관람할 수 있습니다."
창원,외야석,"외야 일반 좌석으로, 홈런볼을 잡을 수 있는 기회가 있으며 가격이 저렴한 편입니다."
창원,불펜석,"외야 불펜 근처에 위치한 좌석으로, 투수의 몸풀기 모습을 가까이에서 볼 수 있습니다."
창원,노스피크캠크닉석,"2층 내야에 위치한 캠핑과 피크닉을 결합한 좌석으로, 텐트와 캠핑의자가 제공됩니다."
창원,3.4층 내야석,"3~4층에 위치한 내야 좌석으로, 경기장을 전체적으로 조망하기에 적합합니다."
